Age,Income,Gender,Education,Target
39.96714153011233,70990.33154879004,female,master,1
33.61735698828815,63869.50524369153,male,master,1
41.47688538100692,50894.45554880261,female,master,0
50.23029856408026,40295.94833441639,male,bachelor,0
32.658466252766644,60473.34970420385,male,bachelor,1
32.6586304305082,55902.28078132625,female,highschool,1
50.79212815507391,63427.89830041598,male,master,1
42.67434729152909,59527.57702522954,female,bachelor,0
30.305256140650478,65743.29072979002,female,bachelor,1
40.42560043585965,41971.47182659148,male,bachelor,0
30.365823071875376,69760.91098451489,male,bachelor,1
30.34270246429743,52963.994070386,female,bachelor,0
37.41962271566034,81128.91308937898,female,master,1
15.86719755342202,39662.18272865648,male,master,0
17.750821674869673,76039.45704747873,male,master,1
29.377124707590273,52968.66175193972,male,master,0
24.87168879665576,40228.72994578327,male,highschool,0
38.142473325952736,42741.71248918518,female,master,0
25.91975924478789,45194.7903770852,female,bachelor,0
20.876962986647086,56362.48919602875,female,master,0
49.65648768921554,57842.5323205325,female,highschool,1
32.74223699513465,41394.49994092131,male,bachelor,0
35.67528204687924,49634.68111608526,male,master,0
20.752518137865433,82134.05537917795,female,master,1
29.556172754748175,75913.14755151067,female,master,1
36.10922589709866,56544.85504511048,female,bachelor,1
23.490064225776973,50570.05217252301,female,bachelor,0
38.75698018345672,51800.46990077392,female,highschool,0
28.99361310081195,59202.769590956246,female,bachelor,1
32.083062502067236,34658.111522023915,female,bachelor,0
28.98293387770603,46139.35193864982,female,master,0
53.522781845089376,24971.238891836158,female,bachelor,0
34.86502775262066,55988.34683907919,male,master,1
24.422890710440996,59707.939095541115,female,master,1
43.225449121031886,42752.20306550939,male,bachelor,0
22.791563500289776,73609.80144935049,male,highschool,1
37.08863595004755,31613.515054964882,female,highschool,0
15.403298761202244,28034.376796852695,female,bachelor,0
21.718139511015693,53366.77727839958,male,highschool,0
36.96861235869123,65706.47453918232,male,master,1
42.38466579995411,75258.91537186803,female,master,1
36.7136828118997,43116.7360569659,male,bachelor,0
33.843517176117594,66180.21250146943,female,highschool,1
31.988963044107113,49422.372957489395,female,highschool,0
20.214780096325725,47410.59050088771,female,master,0
27.801557916052914,63254.89906230009,male,bachelor,1
30.393612290402125,59784.84317620129,male,highschool,0
45.57122226218915,26354.11764523626,female,bachelor,0
38.43618289568462,72148.10524588844,male,highschool,1
17.36959844637266,70701.37031221177,male,master,1
38.24083969394795,40616.55947735706,male,master,0
31.149177195836835,55937.05300156114,male,bachelor,0
28.230779996940413,57410.45279424108,male,master,1
41.11676288840868,53910.10648735861,male,highschool,1
45.30999522495951,41745.422692318694,male,master,0
44.31280119116199,39925.64948092923,female,bachelor,0
26.607824767773614,49616.688935128324,male,bachelor,0
31.907876241487855,67590.93528889047,male,bachelor,1
38.31263431403564,58154.002318916486,male,highschool,1
44.75545127122359,44440.78501870841,male,highschool,0
30.2082576215471,61575.48065972517,male,highschool,1
33.14341023336183,7271.8606905488705,male,highschool,0
23.936650259939718,67231.48550558156,male,highschool,1
23.037933759193294,23904.293318328506,male,master,0
43.125258223941984,44563.38587895302,female,highschool,0
48.56240028570823,33204.95158060784,male,highschool,0
34.27989878419666,30579.777864186413,male,master,0
45.03532897892024,67412.4018106778,male,highschool,1
38.61636025047634,42984.48198032163,male,bachelor,0
28.548802453948756,55197.55822596073,female,highschool,0
38.61395605508414,49296.19131681224,female,highschool,0
50.38036566465969,57155.612408346824,female,bachelor,1
34.64173960890049,51152.32836590383,female,bachelor,0
50.64643655814006,30755.116637171457,female,bachelor,0
8.802548959102555,64944.002291707104,female,bachelor,1
43.21902504375224,42593.65125258031,female,highschool,0
35.870470682381715,26651.271520103735,female,bachelor,0
32.009926495341325,43578.27258551131,female,bachelor,0
35.91760776535502,72511.39685951466,female,master,1
15.124310853991073,62753.32613170239,female,bachelor,1
32.80328112162488,44770.21798388211,female,bachelor,0
38.57112571511746,44761.13443522357,female,master,0
49.77894044741516,45175.47423173926,female,master,0
29.817297817263526,81151.21975341262,female,highschool,1
26.915063971068122,55729.0317834733,female,master,0
29.982429564154636,56450.624707866045,male,highschool,1
44.15402117702074,65454.25181047763,female,master,1
38.287511096596845,53581.8373853977,male,master,1
29.702397962329613,46114.36781268945,female,highschool,0
40.13267433113356,47054.75226372533,female,master,0
35.9707754934804,48925.98110878904,male,highschool,0
44.68644990532889,49441.66645235238,female,master,0
27.979469061226474,60914.4431545547,male,bachelor,1
31.723378534022316,50779.18828710949,male,master,0
31.078918468678424,60989.60115823369,male,highschool,1
20.364850518678814,48789.251298371266,female,master,0
37.96120277064576,51179.52785474136,female,highschool,0
37.610552721798896,20026.989732018385,female,highschool,0
35.05113456642461,63744.91512053722,male,bachelor,1
32.65412866624853,55197.32713846989,male,bachelor,0
20.84629257949586,64970.15164789478,female,highschool,1
30.79354677234641,6556.1693270946635,female,master,0
31.572854834732304,81325.62057171091,female,highschool,1
26.97722730778381,47906.15557767239,female,highschool,0
33.387142883339905,66622.74225106275,female,master,1
39.040508568145384,34401.411093117036,male,master,0
53.8618590121053,59191.608575938546,male,master,1
36.74577812831839,34198.76655239516,male,master,0
37.57550390722764,40643.465589562926,female,highschool,0
34.25554084233833,78710.4703080018,male,highschool,1
15.812287847009586,47139.7639885498,male,bachelor,0
34.73486124550783,53261.49309769584,male,highschool,0
35.60230209941027,63051.015960331315,male,master,1
59.63242112485286,57435.22831958907,male,bachelor,1
33.076390352188774,52256.28357715365,female,master,1
38.015473423336125,55474.41503699338,male,highschool,1
34.65288230294757,86051.23377857413,female,bachelor,1
23.313219623804677,49135.71804449622,female,master,0
46.42822814515021,53016.485700724515,female,bachelor,1
42.519330326867745,65759.81594011417,female,bachelor,1
42.910319470430466,66582.88899436976,female,highschool,1
25.90612545205261,67805.4545834057,male,master,1
49.02794310936099,59580.95333043777,male,bachelor,1
20.981489372077192,32854.92630904275,female,bachelor,0
40.868570938002705,74501.47298451644,female,master,1
56.90455625809979,32804.81910471968,female,bachelor,0
